"","(4,4.25]","(3.75,4]","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]"
"Aepyceros_melampus",0,0,0,0,0,0,0,0,1,1,1,1,1
"Aepyceros_shungurae",0,1,1,1,1,1,1,1,1,0,0,0,0
"Beatragus_antiquus",0,0,0,0,0,0,0,0,1,1,1,1,0
"Beatragus_hunteri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Connochaetes_gentryi",0,0,1,0,0,0,1,0,0,1,1,1,0
"Damalacra_harrisi",1,0,0,0,0,0,0,0,0,0,0,0,0
"Damaliscus_eppsi",0,0,0,0,1,0,0,0,0,1,1,1,0
"Damaliscus_niro",0,0,0,0,0,0,0,0,0,0,1,0,0
"Damaliscus_sp",0,0,0,1,0,1,1,1,0,1,1,1,0
"Megalotragus_issaci",0,0,0,0,0,0,0,0,0,1,1,1,0
"Megalotragus_kattwinkeli",0,0,0,0,0,0,0,0,1,0,0,1,1
"Parmularius_altidens",0,0,0,0,0,0,0,0,1,1,1,0,0
"Parmularius_angusticornis",0,0,1,0,1,0,0,0,0,0,1,0,0
"aff_Dytikodorcas_sp_Kanapoi",1,0,0,0,0,0,0,0,0,0,0,0,0
"Antidorcas_recki",0,0,0,1,1,1,1,1,1,1,1,1,0
"Antilope_aff_subtorta",0,0,0,0,0,1,0,0,0,0,0,0,0
"Gazella_granti",0,0,1,0,0,0,1,0,0,0,1,1,0
"Gazella_janenschi",0,0,1,1,0,1,1,0,0,0,1,1,0
"Gazella_praethomsoni",0,0,1,1,1,0,1,1,1,1,1,1,1
"Hippotragus_gigas",0,0,0,1,0,1,0,0,0,1,1,1,0
"Kobus_ancystrocera",0,0,0,0,1,1,0,1,1,1,1,0,1
"Kobus_ellipsiprymnus",0,0,0,0,0,0,0,0,1,1,1,1,1
"Kobus_kob",0,0,1,1,1,1,0,1,1,1,1,1,1
"Kobus_leche",0,0,0,0,0,0,0,0,0,1,1,1,0
"Kobus_oricornus",0,0,1,1,1,0,1,1,0,0,0,0,0
"Kobus_presigmoidalis",0,0,0,0,1,0,0,0,0,0,0,0,0
"Kobus_sigmoidalis",0,0,1,1,1,1,1,1,1,1,1,1,0
"Menelikia_leakeyi",0,1,0,0,1,0,0,0,0,0,0,0,0
"Menelikia_lyrocera",0,1,0,0,1,1,0,1,1,1,1,1,0
"Pelorovis_oldowayensis",0,0,0,0,0,0,0,0,0,1,1,1,0
"Pelorovis_turkanensis",0,0,0,0,0,0,0,0,0,1,1,1,1
"Simatherium_aff_kohllarsoni",0,0,0,0,1,0,0,0,0,0,0,0,0
"Simatherium_kohllarseni",0,0,1,0,1,0,0,0,0,0,0,0,0
"Simatherium_shungurense",0,0,0,0,0,0,0,0,1,0,0,0,0
"Syncerus_acoelotus",0,0,0,0,0,0,0,0,1,0,0,0,0
"Syncerus_caffer",0,0,0,0,0,0,0,0,0,0,0,0,1
"Tragelaphus_gaudryi",0,0,0,0,1,1,0,1,1,1,0,0,0
"Tragelaphus_kyaloi",1,1,1,1,1,0,0,0,0,0,0,0,0
"Tragelaphus_nakuae",0,0,0,0,0,1,1,1,1,1,1,1,0
"Tragelaphus_pricei",0,0,0,0,1,1,0,0,0,0,0,0,0
"Tragelaphus_rastafari",0,1,1,1,1,0,0,0,0,0,0,0,0
"Tragelaphus_scriptus",0,0,0,0,0,0,0,1,0,0,1,0,1
"Tragelaphus_strepsiceros",0,0,0,0,0,0,0,0,1,1,1,1,1
