"","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]","(0.75,1]","(0.5,0.75]","(0.25,0.5]","(0,0.25]"
"Aepyceros_afarensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aepyceros_aff_dietrchi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aepyceros_datoadeni",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aepyceros_dietrchi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aepyceros_melampus",0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
"Aepyceros_shungurae",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Aepyceros_sp_KH2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aepyceros_sp_nov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"aff_Hippopotamus_aethiopicus",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"aff_Hippopotamus_afarensis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"aff_Hippopotamus_coryndonae",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"aff_Hippopotamus_karumensis",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"aff_Hippopotamus_protoamphibius",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Alcelaphini_indet_A_Hadar",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alcelaphini_indet_B_Hadar",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alcelaphini_indet_C_Hadar",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alcelaphini_sp_2_Olduvai",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Alcelaphini_sp_3_Olduvai",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Alcelaphini_sp_4_Olduvai",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Alcelaphus_buselaphus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anancus_ultimus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ancylotherium_hennigi",1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"Antidorcas_marsupialis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Antidorcas_recki",0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"Antilope_aff_subtorta",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Beatragus_antiquus",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"Beatragus_hunteri",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Beatragus_vrbae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Beatragus_whitei",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bos_sp_Asbole",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bouria_anngettyae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Brabovus_nanincisus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Budorcas_churcheri",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Camelus_grattardi",0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
"Ceratotherium_efficax",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ceratotherium_mauritanicum",0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
"Ceratotherium_simum",0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
