Order,Family,Subfamily,Tribe,Genus,Qual,Species,Am.Ado,Apak,Aralee.Issie,Aramis,Asa.Issie,Asa.Koma,Asbole,Bed.I,Bed.III,Bed.IV,Boolihanan,Burtele,Chari,Chemeron.Mabaget,Dahuli,Daka,Danauli,Dark.Paleosol,DD2,DD3,Gafura,Garba.IV,Gombore.I,Gurumaha,Hata,Ibole,Kaitio,Kaiyumung,Kalochoro,Kanapoi,Kantis,Karungu,Kataboi,KBS,KH1,KH2,Kibish.I,Kibish.III,Kibish.IV,Kibogo,Kiloleli,Konso.1,Konso.2,Konso.3,Konso.4,Konso.5,Konso.6,Korsi.Dora,Kuseralee,Lainyamok,Lee.Adoyta,Lemudongo,Lokalalei,Lokochot,Lonyumun,Lower.Bed.II,Lower.Laetolil,Lower.Lomekwi,Lower.Nawata,Lukeino,Makaamitalu,Makah.Mera,Mb.A,Mb.B,Mb.C,Mb.D,Mb.E,Mb.F,Mb.G,Mb.H,Mb.J,Mb.K,Mb.L,Mesgid.Dora,Mfangano,Middle.Bed.II,Middle.Lomekwi,Moiti,Mpesida,Mursi,Nariokotome,Natoo,Nefuraytu,Okote,Olkesiteti,Olorgesailie,Rusinga,Seraitu,SH1,SH2,SH3,SH4.DD1,South.Turkwel,Tinde,Tulu.Bor,Upper.Bed.II,Upper.Burgi,Upper.Laetolil,Upper.Lomekwi,Upper.Nawata,Upper.Ndolanya,Uraitele,Usno
Artiodactyla,Bovidae,Antilopinae,,Afrotragus,GOOD,Afrotragus_premelampus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Artiodactyla,Bovidae,Antilopinae,,Turkanatragus,GOOD,Turkanatragus_marymuunguae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,GOOD,Aepyceros_afarensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,aff,Aepyceros_aff_dietrchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,aff,Aepyceros_aff_premelampus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,cf,Aepyceros_cf_afarensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,cf,Aepyceros_cf_melampus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,cf,Aepyceros_cf_premelampus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,GOOD,Aepyceros_datoadeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Artiodactyla,Bovidae,Antilopinae,Aepycerotini,Aepyceros,GOOD,Aepyceros_dietrchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
