age.bin_ka,insolation_equator,O18_forams,paleoCO2,SST_means,Eafr_Med_WIndian_noSST_means
125,1.700681017,1.615630155,1.845967506,3.617324659,1.232838459
375,1.08918287,1.396223591,1.798820988,3.349352119,1.398266103
625,1.556823706,1.196763078,1.175036291,0.843790076,1.138750237
875,1.361323495,1.067113744,0.827955814,1.791783143,1.123763688
1125,1.678404876,1.156870975,0.741684291,0.914953094,1.170574462
1375,1.821634772,1.126951898,1.139761613,2.045903382,1.217991894
1625,1.319243393,0.897572308,0.951655608,2.079589054,0.909645734
1875,1.669935266,0.733017385,0.997701386,1.402255394,0.946784593
2125,1.628999628,0.718057847,1.486584068,3.34493849,1.151376315
2375,0.860810912,0.797842052,1.639898501,1.978074375,0.876171314
2625,1.726375587,0.837734155,1.081818533,2.20641501,1.165208043
2875,0.936089228,0.658219693,1.186707727,1.502175338,0.87092491
3125,1.714859548,0.608354565,1.192656378,1.513226168,0.999567462
3375,1.387644951,0.598381539,1.232817814,1.642162505,0.850444166
3625,1.376373612,0.498651282,1.148861442,0.732872394,0.777953018
3875,1.638470243,0.478705231,1.603274101,0.510875822,0.884364834
4125,1.474292206,0.538543385,2.097140789,0.520509762,0.912268445
4375,0.883190928,0.473718718,2.297529954,0.35416437,0.995314516
4625,1.703389328,0.483691744,1.65645826,0.537009358,0.887493893
4875,0.870485962,0.658219693,1.370697908,0.818042645,0.935698517
5125,1.826560188,0.438813129,1.298478064,0.47839334,1.017214482
