Country,Region,Unit,Lat,Long,Sequence,Min.Age,Max.Age,Mean.Age,Duration,Age Ref.,Faunal Ref(s).
Ethiopia,Awash,Am.Ado,11.3,40.3,Woranso-Mille,3.57,3.66,3.615,0.09,Saylor et al. (2016),Sanders and Haile-Selassie (2012); Werdelin et al. (2014); Frost et al. (2014); Geraads et al. (2009)
Kenya,Turkana,Apak,2.9,36.05,Nachukui Formation,4.2,5,4.6,0.8,Sanders et al. (2010),"Leakey and Harris (2003); Boisserie et al. (2014); Werdelin and Peigne (2010); Geraads (2010, 2017)"
Ethiopia,Awash,Aralee.Issie,11.3,40.3,Woranso-Mille,3.57,3.76,3.665,0.19,Curran and Haile-Selassie (2015),Curran and Haile-Selassie (2015)
Ethiopia,Awash,Aramis,10.3,40.3,Sagantole Formation,4.4,4.4,4.4,0,WoldeGabriel et al. (2009a),White et al. (2009); Sanders et al. (2010); Bernor et al. (2013); Garcia (2008)
Ethiopia,Awash,Asa.Issie,10.23,40.24,Sagantole Formation,,,4.12,,White et al. (2006),White et al. (2006)
Ethiopia,Awash,Asa.Koma,10.3,40.26,Adu-Asa Formation,5.54,5.77,5.655,0.23,WoldeGabriel et al. (2001),Haile-Selassie (2009); Bibi (2011); Boisserie et al. (2014)
Ethiopia,Awash,Asbole,11.05,40.67,Busidima Formation,0.6,0.8,0.7,0.2,Geraads et al. (2004),Geraads et al. (2004); Frost and Alemseged (2007)
Tanzania,Serengeti,Bed.I,-2.98,35.3,Olduvai Gorge,1.8,2.038,1.919,0.238,McHenry (2012),Bernor et al. (2010); Gentry (2010); Geraads (2010); Gilbert et al. (2016); Harris et al. (2010); Harrison (2010); Gentry and Gentry (1979); Werdelin and Peigne (2010); Werdelin and Lewis (2014); Weston and Boisserie (2010); Winkler and Avery (2010); NOW
Tanzania,Serengeti,Bed.III,-2.98,35.3,Olduvai Gorge,0.8,1.2,1,0.4,Werdelin (2010),Gentry and Gentry (1979); MacLatchy et al. (2010); Werdelin and Peigne (2010); Weston and Boisserie (2010); Bishop (2010); Geraads (2010); NOW
Tanzania,Serengeti,Bed.IV,-2.98,35.3,Olduvai Gorge,0.6,0.8,0.7,0.2,Werdelin (2010),Gentry and Gentry (1979); MacLatchy et al. (2010); Weston and Boisserie (2010); Bishop (2010); Geraads (2010); NOW
Ethiopia,Awash,Boolihanan,11.15,40.32,Busidima Formation,1.5,1.7,1.6,0.2,Everett (2010),Everett (2010)
Ethiopia,Awash,Burtele,11.3,40.3,Woranso-Mille,3.3,3.5,3.4,0.2,Haile-Selassie et al. (2012),Haile-Selassie et al. (2012)
Kenya,Turkana,Chari,4,36.37,Koobi Fora Formation ,0.75,1.38,1.065,0.63,McDougall et al. (2012),Fortelius et al. (2016); Du and Alemseged (in review)
Kenya,,Chemeron.Mabaget,-0.57,35.95,Chemeron Formation,4.3,5.3,4.8,1,Werdelin (2010),Bernor et al. (2010); Geraads (2010); Harrison (2010); Sanders et al. (2010); Jablonski and Frost (2010); Maclatchy et al. (2010); Hill et al. (1985); Morales et al. (2005)
Ethiopia,Awash,Dahuli,11.15,40.32,Busidima Formation,0.64,0.81,0.725,0.17,Everett (2010),Everett (2010)
Ethiopia,Awash,Daka,10.28,40.53,Bouri Formation,0.966,1.04,1.003,0.074,WoldeGabriel et al. (2009b),Gilbert and Asfaw (2009); Bibi (2009)
Ethiopia,Awash,Danauli,11.1,40.58,Busidima Formation,,,2,0,Rowan et al. (in prep),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,Dark.Paleosol,11.15,40.32,Busidima Formation,0.9,1.4,1.15,0.5,Everett (2010),Everett (2010)
Ethiopia,Awash,DD2,11.1,40.58,Hadar Formation,3.22,3.22,3.22,0,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,DD3,11.1,40.58,Hadar Formation,3.2,3.22,3.21,0.02,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,Gafura,11.6,40.8,Mille-Logya,2.914,3.127,3.021,0.107,Alemseged et al. (2020),Alemseged et al. (2020)
Ethiopia,,Garba.IV,9.56,39.11,Melka Kunture,0.8,1,0.9,0.2,Werdelin (2010),Geraads et al. (2004b)
Ethiopia,,Gombore.I,9.56,39.11,Melka Kunture,1.6,1.7,1.65,0.1,Maclatchy et al. (2010),Geraads et al. (2004b)
